"","city","city_ascii","province_id","province_name","lat","lng","population","density","overall_csi_index","overall_csi_rank","violent_csi_index","violent_csi_rank","nonviolent_csi_index","nonviolent_csi_rank"
"432","Mono","Mono","ON","Ontario",44.0167,-80.0667,8609,31,NA,NA,NA,NA,NA,NA
"433","Corman Park No. 344","Corman Park No. 344","SK","Saskatchewan",52.2291,-106.8002,8568,4.5,NA,NA,NA,NA,NA,NA
"434","Ladysmith","Ladysmith","BC","British Columbia",48.9975,-123.8203,8537,711.9,NA,NA,NA,NA,NA,NA
"435","Bridgewater","Bridgewater","NS","Nova Scotia",44.37,-64.52,8532,625.9,NA,NA,NA,NA,NA,NA
"436","Dauphin","Dauphin","MB","Manitoba",51.1992,-100.0633,8457,670.7,NA,NA,NA,NA,NA,NA
"437","Otterburn Park","Otterburn Park","QC","Quebec",45.5333,-73.2167,8450,1580.6,NA,NA,NA,NA,NA,NA
"438","Taber","Taber","AB","Alberta",49.7847,-112.1508,8428,537.9,NA,NA,NA,NA,NA,NA
"439","South Bruce Peninsula","South Bruce Peninsula","ON","Ontario",44.7333,-81.2,8416,15.8,NA,NA,NA,NA,NA,NA
"440","Edson","Edson","AB","Alberta",53.5817,-116.4344,8414,283.1,NA,NA,NA,NA,NA,NA
"441","Farnham","Farnham","QC","Quebec",45.2833,-72.9833,8330,90.5,NA,NA,NA,NA,NA,NA
"442","Kapuskasing","Kapuskasing","ON","Ontario",49.4167,-82.4333,8292,98.3,NA,NA,NA,NA,NA,NA
"443","La Malbaie","La Malbaie","QC","Quebec",47.65,-70.15,8271,18,NA,NA,NA,NA,NA,NA
"444","Renfrew","Renfrew","ON","Ontario",45.4717,-76.6831,8223,643.4,NA,NA,NA,NA,NA,NA
"445","Coaldale","Coaldale","AB","Alberta",49.7333,-112.6167,8215,1028.5,NA,NA,NA,NA,NA,NA
"446","Portugal Cove-St. Philip's","Portugal Cove-St. Philip's","NL","Newfoundland and Labrador",47.6272,-52.8506,8147,128.4,NA,NA,NA,NA,NA,NA
"447","Zorra","Zorra","ON","Ontario",43.15,-80.95,8138,15.4,NA,NA,NA,NA,NA,NA
"448","Kitimat","Kitimat","BC","British Columbia",54,-128.7,8131,34.7,NA,NA,NA,NA,NA,NA
"449","Shelburne","Shelburne","ON","Ontario",44.0833,-80.2,8126,907.1,NA,NA,NA,NA,NA,NA
"450","Happy Valley","Happy Valley","NL","Newfoundland and Labrador",53.3396,-60.4467,8109,26.5,NA,NA,NA,NA,NA,NA
"451","Saint-Hippolyte","Saint-Hippolyte","QC","Quebec",45.93,-74.02,8083,67,NA,NA,NA,NA,NA,NA
"452","Castlegar","Castlegar","BC","British Columbia",49.3256,-117.6661,8039,408.6,NA,NA,NA,NA,NA,NA
"453","Church Point","Church Point","NS","Nova Scotia",44.3333,-66.1167,8018,9.4,NA,NA,NA,NA,NA,NA
"454","Drumheller","Drumheller","AB","Alberta",51.4636,-112.7194,7982,73.9,NA,NA,NA,NA,NA,NA
"455","Kirkland Lake","Kirkland Lake","ON","Ontario",48.15,-80.0333,7981,30.4,NA,NA,NA,NA,NA,NA
"456","Argyle","Argyle","NS","Nova Scotia",43.8,-65.85,7899,5.2,NA,NA,NA,NA,NA,NA
"457","Torbay","Torbay","NL","Newfoundland and Labrador",47.65,-52.7333,7899,212.1,NA,NA,NA,NA,NA,NA
"458","La Pêche","La Peche","QC","Quebec",45.6833,-75.9833,7863,13.4,NA,NA,NA,NA,NA,NA
"459","Banff","Banff","AB","Alberta",51.1781,-115.5719,7847,1646,NA,NA,NA,NA,NA,NA
"460","Innisfail","Innisfail","AB","Alberta",52.0333,-113.95,7847,404.6,NA,NA,NA,NA,NA,NA
"461","Nicolet","Nicolet","QC","Quebec",46.2167,-72.6167,7828,81.5,NA,NA,NA,NA,NA,NA
