"","city","city_ascii","province_id","province_name","lat","lng","population","density","overall_csi_index","overall_csi_rank","violent_csi_index","violent_csi_rank","nonviolent_csi_index","nonviolent_csi_rank"
"601","Windsor","Windsor","QC","Quebec",45.5667,-72,5367,375.5,104.98,56,105.6,66,104.51,58
"602","L’Epiphanie","L'Epiphanie","QC","Quebec",45.85,-73.4833,5353,2367.9,NA,NA,NA,NA,NA,NA
"603","Creston","Creston","BC","British Columbia",49.09,-116.51,5351,626.8,NA,NA,NA,NA,NA,NA
"604","Smithers","Smithers","BC","British Columbia",54.7819,-127.1681,5351,514.9,NA,NA,NA,NA,NA,NA
"605","Cornwall","Cornwall","PE","Prince Edward Island",46.2407,-63.2009,5348,189.7,103.49,60,137.02,35,91.19,75
"606","Meadow Lake","Meadow Lake","SK","Saskatchewan",54.1242,-108.4358,5344,433.6,NA,NA,NA,NA,NA,NA
"607","Lanark Highlands","Lanark Highlands","ON","Ontario",45.088,-76.517,5338,5.1,57.69,169,83.93,104,48.12,186
"608","Sackville","Sackville","NB","New Brunswick",45.9,-64.3667,5331,71.9,NA,NA,NA,NA,NA,NA
"609","Grand Falls","Grand Falls","NB","New Brunswick",47.0344,-67.7394,5326,294.4,NA,NA,NA,NA,NA,NA
"610","Cochrane","Cochrane","ON","Ontario",49.0667,-81.0167,5321,9.9,86.39,85,108.59,61,78.21,100
"611","Cochrane","Cochrane","ON","Ontario",49.0667,-81.0167,5321,9.9,42.59,230,37.16,270,44.44,203
"612","Marystown","Marystown","NL","Newfoundland and Labrador",47.1667,-55.1667,5316,85.8,NA,NA,NA,NA,NA,NA
"613","Sioux Lookout","Sioux Lookout","ON","Ontario",50.1,-91.9167,5272,13.9,NA,NA,NA,NA,NA,NA
"614","Didsbury","Didsbury","AB","Alberta",51.6658,-114.1311,5268,321.7,NA,NA,NA,NA,NA,NA
"615","Saint-Honoré","Saint-Honore","QC","Quebec",48.5333,-71.0833,5257,27.8,NA,NA,NA,NA,NA,NA
"616","Fernie","Fernie","BC","British Columbia",49.5042,-115.0628,5249,388.8,NA,NA,NA,NA,NA,NA
"617","Deer Lake","Deer Lake","NL","Newfoundland and Labrador",49.1744,-57.4269,5249,71.7,NA,NA,NA,NA,NA,NA
"618","Woodstock","Woodstock","NB","New Brunswick",46.1522,-67.5983,5228,356.7,75.88,110,49.27,232,85.27,83
"619","Val-David","Val-David","QC","Quebec",46.03,-74.22,5209,103.9,NA,NA,NA,NA,NA,NA
"620","Flin Flon","Flin Flon","SK","Saskatchewan",54.7667,-101.8778,5185,448.9,NA,NA,NA,NA,NA,NA
"621","Hudson","Hudson","QC","Quebec",45.45,-74.15,5165,234.5,NA,NA,NA,NA,NA,NA
"622","Gananoque","Gananoque","ON","Ontario",44.33,-76.17,5159,733.6,NA,NA,NA,NA,NA,NA
"623","Brokenhead","Brokenhead","MB","Manitoba",50.1428,-96.5319,5122,6.8,NA,NA,NA,NA,NA,NA
"624","Saint-Paul","Saint-Paul","QC","Quebec",45.9833,-73.45,5122,103.7,NA,NA,NA,NA,NA,NA
"625","Burton","Burton","NB","New Brunswick",45.8009,-66.4066,5119,19.8,NA,NA,NA,NA,NA,NA
"626","Spallumcheen","Spallumcheen","BC","British Columbia",50.4462,-119.2121,5106,20,NA,NA,NA,NA,NA,NA
"627","Westlock","Westlock","AB","Alberta",54.1522,-113.8511,5101,381.4,NA,NA,NA,NA,NA,NA
"628","Témiscouata-sur-le-Lac","Temiscouata-sur-le-Lac","QC","Quebec",47.68,-68.88,5096,23.3,NA,NA,NA,NA,NA,NA
"629","Shannon","Shannon","QC","Quebec",46.8833,-71.5167,5086,79.8,NA,NA,NA,NA,NA,NA
"630","Osoyoos","Osoyoos","BC","British Columbia",49.0325,-119.4661,5085,598.2,NA,NA,NA,NA,NA,NA
"631","Montréal-Ouest","Montreal-Ouest","QC","Quebec",45.4536,-73.6472,5085,3614.6,NA,NA,NA,NA,NA,NA
"632","Hearst","Hearst","ON","Ontario",49.6869,-83.6544,5070,51.5,NA,NA,NA,NA,NA,NA
"633","Saint-Henri","Saint-Henri","QC","Quebec",46.7,-71.0667,5023,41.1,NA,NA,NA,NA,NA,NA
"634","Ste. Anne","Ste. Anne","MB","Manitoba",49.6186,-96.5708,5003,10.5,NA,NA,NA,NA,NA,NA
"635","Antigonish","Antigonish","NS","Nova Scotia",45.6167,-61.9833,5002,871.7,NA,NA,NA,NA,NA,NA
"636","Espanola","Espanola","ON","Ontario",46.25,-81.7667,4996,60.3,NA,NA,NA,NA,NA,NA
"637","West Elgin","West Elgin","ON","Ontario",42.5833,-81.6667,4995,15.5,NA,NA,NA,NA,NA,NA
"638","Flin Flon (Part)","Flin Flon (Part)","MB","Manitoba",54.7712,-101.8419,4982,359.2,NA,NA,NA,NA,NA,NA
"639","Grand Bay-Westfield","Grand Bay-Westfield","NB","New Brunswick",45.3608,-66.2415,4964,83,NA,NA,NA,NA,NA,NA
"640","Sainte-Anne-de-Bellevue","Sainte-Anne-de-Bellevue","QC","Quebec",45.4039,-73.9525,4958,473,NA,NA,NA,NA,NA,NA
"641","North Huron","North Huron","ON","Ontario",43.83,-81.42,4932,27.6,NA,NA,NA,NA,NA,NA
"642","Oliver","Oliver","BC","British Columbia",49.1844,-119.55,4928,896,NA,NA,NA,NA,NA,NA
"643","Saint-Roch-de-l'Achigan","Saint-Roch-de-l'Achigan","QC","Quebec",45.85,-73.6,4892,60.6,NA,NA,NA,NA,NA,NA
"644","Stirling-Rawdon","Stirling-Rawdon","ON","Ontario",44.3667,-77.5917,4882,17.3,NA,NA,NA,NA,NA,NA
"645","Chisasibi","Chisasibi","QC","Quebec",53.6645,-78.7938,4872,5.9,NA,NA,NA,NA,NA,NA
"646","Carbonear","Carbonear","NL","Newfoundland and Labrador",47.7375,-53.2294,4838,411.5,NA,NA,NA,NA,NA,NA
"647","Saint Marys","Saint Marys","NB","New Brunswick",46.1748,-66.4897,4837,6.4,NA,NA,NA,NA,NA,NA
"648","Chertsey","Chertsey","QC","Quebec",46.17,-73.92,4836,16.8,NA,NA,NA,NA,NA,NA
"649","Armstrong","Armstrong","BC","British Columbia",50.4483,-119.1961,4830,927.7,NA,NA,NA,NA,NA,NA
"650","Stonewall","Stonewall","MB","Manitoba",50.1344,-97.3261,4809,802.8,NA,NA,NA,NA,NA,NA
"651","Shippagan","Shippagan","NB","New Brunswick",47.8557,-64.6012,4800,23.1,NA,NA,NA,NA,NA,NA
"652","Lanoraie","Lanoraie","QC","Quebec",45.9667,-73.2167,4787,46.4,NA,NA,NA,NA,NA,NA
"653","Memramcook","Memramcook","NB","New Brunswick",46,-64.55,4778,25.5,NA,NA,NA,NA,NA,NA
"654","Centre Hastings","Centre Hastings","ON","Ontario",44.4167,-77.4417,4774,20.4,NA,NA,NA,NA,NA,NA
"655","Warwick","Warwick","QC","Quebec",45.95,-71.9833,4766,43.3,NA,NA,NA,NA,NA,NA
"656","East Ferris","East Ferris","ON","Ontario",46.2667,-79.3,4750,30.6,NA,NA,NA,NA,NA,NA
"657","Hanwell","Hanwell","NB","New Brunswick",45.8681,-66.7947,4750,31.4,NA,NA,NA,NA,NA,NA
"658","Saint-Joseph-de-Beauce","Saint-Joseph-de-Beauce","QC","Quebec",46.3,-70.8833,4722,42.6,NA,NA,NA,NA,NA,NA
"659","Metchosin","Metchosin","BC","British Columbia",48.3819,-123.5378,4708,66.2,NA,NA,NA,NA,NA,NA
"660","Lucan Biddulph","Lucan Biddulph","ON","Ontario",43.2,-81.3833,4700,27.8,NA,NA,NA,NA,NA,NA
"661","Rivière-Rouge","Riviere-Rouge","QC","Quebec",46.4167,-74.8667,4645,10.2,NA,NA,NA,NA,NA,NA
"662","Greenstone","Greenstone","ON","Ontario",50,-86.7333,4636,1.7,NA,NA,NA,NA,NA,NA
"663","Saint-Mathias-sur-Richelieu","Saint-Mathias-sur-Richelieu","QC","Quebec",45.4667,-73.2667,4618,97.8,NA,NA,NA,NA,NA,NA
"664","Neepawa","Neepawa","MB","Manitoba",50.2289,-99.4656,4609,206.5,NA,NA,NA,NA,NA,NA
"665","Gibsons","Gibsons","BC","British Columbia",49.4028,-123.5036,4605,1066,NA,NA,NA,NA,NA,NA
"666","Kindersley","Kindersley","SK","Saskatchewan",51.4678,-109.1567,4597,347.5,NA,NA,NA,NA,NA,NA
"667","Jasper","Jasper","AB","Alberta",52.9013,-118.1312,4590,5,NA,NA,NA,NA,NA,NA
"668","Barrhead","Barrhead","AB","Alberta",54.1167,-114.4,4579,560.4,NA,NA,NA,NA,NA,NA
"669","Les Coteaux","Les Coteaux","QC","Quebec",45.28,-74.23,4568,393.2,NA,NA,NA,NA,NA,NA
"670","Melville","Melville","SK","Saskatchewan",50.9306,-102.8078,4562,307.8,NA,NA,NA,NA,NA,NA
"671","Saint-Germain-de-Grantham","Saint-Germain-de-Grantham","QC","Quebec",45.8333,-72.5667,4551,51.9,NA,NA,NA,NA,NA,NA
"672","Iroquois Falls","Iroquois Falls","ON","Ontario",48.7667,-80.6667,4537,7.6,NA,NA,NA,NA,NA,NA
"673","Havelock-Belmont-Methuen","Havelock-Belmont-Methuen","ON","Ontario",44.5667,-77.9,4530,8.3,NA,NA,NA,NA,NA,NA
"674","Cornwallis","Cornwallis","MB","Manitoba",49.7981,-99.8481,4520,9,NA,NA,NA,NA,NA,NA
"675","Saint-Boniface","Saint-Boniface","QC","Quebec",46.5,-72.8167,4511,41.4,NA,NA,NA,NA,NA,NA
"676","Edenwold No. 158","Edenwold No. 158","SK","Saskatchewan",50.5166,-104.3451,4490,5.3,NA,NA,NA,NA,NA,NA
"677","Coverdale","Coverdale","NB","New Brunswick",46.0003,-64.8859,4466,18.9,NA,NA,NA,NA,NA,NA
"678","Vanderhoof","Vanderhoof","BC","British Columbia",54.0143,-124.0089,4439,81,NA,NA,NA,NA,NA,NA
"679","Southwold","Southwold","ON","Ontario",42.75,-81.3167,4421,14.7,NA,NA,NA,NA,NA,NA
"680","Goulds","Goulds","NL","Newfoundland and Labrador",47.4517,-52.7647,4418,721.3,NA,NA,NA,NA,NA,NA
"681","Saint Stephen","Saint Stephen","NB","New Brunswick",45.2,-67.2833,4415,326.6,NA,NA,NA,NA,NA,NA
"682","Waterloo","Waterloo","QC","Quebec",45.35,-72.5167,4410,360.2,NA,NA,NA,NA,NA,NA
"683","Nipawin","Nipawin","SK","Saskatchewan",53.3572,-104.0192,4401,505,NA,NA,NA,NA,NA,NA
"684","Neuville","Neuville","QC","Quebec",46.7,-71.5833,4392,61,NA,NA,NA,NA,NA,NA
"685","Saint-Cyrille-de-Wendover","Saint-Cyrille-de-Wendover","QC","Quebec",45.9333,-72.4333,4389,39.8,NA,NA,NA,NA,NA,NA
"686","Central Frontenac","Central Frontenac","ON","Ontario",44.7167,-76.8,4373,4.3,NA,NA,NA,NA,NA,NA
"687","Mont-Orford","Mont-Orford","QC","Quebec",45.3661,-72.1838,4337,31.8,NA,NA,NA,NA,NA,NA
"688","Saint-Jean-de-Matha","Saint-Jean-de-Matha","QC","Quebec",46.23,-73.53,4335,39.6,NA,NA,NA,NA,NA,NA
"689","Seguin","Seguin","ON","Ontario",45.2882,-79.8116,4304,7.2,NA,NA,NA,NA,NA,NA
"690","Tyendinaga","Tyendinaga","ON","Ontario",44.3,-77.2,4297,13.7,NA,NA,NA,NA,NA,NA
"691","Hampton","Hampton","NB","New Brunswick",45.533,-65.833,4289,203.4,NA,NA,NA,NA,NA,NA
"692","Sussex","Sussex","NB","New Brunswick",45.7167,-65.5167,4282,478.3,NA,NA,NA,NA,NA,NA
"693","Grand Forks","Grand Forks","BC","British Columbia",49.0333,-118.44,4274,388.1,NA,NA,NA,NA,NA,NA
"694","La Pocatière","La Pocatiere","QC","Quebec",47.3667,-70.0333,4266,196.3,NA,NA,NA,NA,NA,NA
"695","Caraquet","Caraquet","NB","New Brunswick",47.7853,-64.9592,4248,62.1,NA,NA,NA,NA,NA,NA
"696","Saint-Étienne-des-Grès","Saint-Etienne-des-Gres","QC","Quebec",46.4333,-72.7667,4217,40.2,NA,NA,NA,NA,NA,NA
"697","Altona","Altona","MB","Manitoba",49.1044,-97.5625,4212,445.2,NA,NA,NA,NA,NA,NA
"698","Stellarton","Stellarton","NS","Nova Scotia",45.5567,-62.66,4208,468.1,NA,NA,NA,NA,NA,NA
"699","Wolfville","Wolfville","NS","Nova Scotia",45.0833,-64.3667,4195,649.8,NA,NA,NA,NA,NA,NA
"700","New Maryland","New Maryland","NB","New Brunswick",45.8911,-66.6847,4174,195.7,NA,NA,NA,NA,NA,NA
"701","Port Hardy","Port Hardy","BC","British Columbia",50.7225,-127.4928,4132,106.7,NA,NA,NA,NA,NA,NA
"702","Saint-Donat","Saint-Donat","QC","Quebec",46.3167,-74.2167,4130,11.7,NA,NA,NA,NA,NA,NA
"703","Château-Richer","Chateau-Richer","QC","Quebec",46.9667,-71.0167,4126,18,NA,NA,NA,NA,NA,NA
"704","Madawaska Valley","Madawaska Valley","ON","Ontario",45.5,-77.6667,4123,6.1,NA,NA,NA,NA,NA,NA
"705","Deep River","Deep River","ON","Ontario",46.1,-77.4917,4109,82,NA,NA,NA,NA,NA,NA
"706","Asphodel-Norwood","Asphodel-Norwood","ON","Ontario",44.3531,-78.0183,4109,25.5,NA,NA,NA,NA,NA,NA
"707","Red Lake","Red Lake","ON","Ontario",51.0333,-93.8333,4107,6.7,NA,NA,NA,NA,NA,NA
"708","Métabetchouan-Lac-à-la-Croix","Metabetchouan-Lac-a-la-Croix","QC","Quebec",48.4333,-71.8667,4097,21.9,NA,NA,NA,NA,NA,NA
"709","Berthierville","Berthierville","QC","Quebec",46.0833,-73.1833,4091,596.8,NA,NA,NA,NA,NA,NA
"710","Vermilion","Vermilion","AB","Alberta",53.3542,-110.8528,4084,315.8,NA,NA,NA,NA,NA,NA
"711","Niverville","Niverville","MB","Manitoba",49.6056,-97.0417,4083,1767.5,NA,NA,NA,NA,NA,NA
"712","Hastings Highlands","Hastings Highlands","ON","Ontario",45.2333,-77.9333,4078,4.2,NA,NA,NA,NA,NA,NA
"713","Carstairs","Carstairs","AB","Alberta",51.5619,-114.0953,4077,342.1,NA,NA,NA,NA,NA,NA
"714","Danville","Danville","QC","Quebec",45.7833,-72.0167,4070,26.7,NA,NA,NA,NA,NA,NA
"715","Channel-Port aux Basques","Channel-Port aux Basques","NL","Newfoundland and Labrador",47.5694,-59.1361,4067,104.9,NA,NA,NA,NA,NA,NA
"716","Battleford","Battleford","SK","Saskatchewan",52.7383,-108.3153,4065,174.2,NA,NA,NA,NA,NA,NA
"717","Lac-Etchemin","Lac-Etchemin","QC","Quebec",46.4,-70.5,4061,25.8,NA,NA,NA,NA,NA,NA
"718","Saint-Antonin","Saint-Antonin","QC","Quebec",47.7667,-69.4833,4027,22.9,NA,NA,NA,NA,NA,NA
"719","Saint-Jacques","Saint-Jacques","QC","Quebec",45.95,-73.5667,4021,59.7,NA,NA,NA,NA,NA,NA
"720","Swan River","Swan River","MB","Manitoba",52.1058,-101.2667,4014,560.4,NA,NA,NA,NA,NA,NA
"721","Sutton","Sutton","QC","Quebec",45.091,-72.5792,4012,16.3,NA,NA,NA,NA,NA,NA
"722","Northern Bruce Peninsula","Northern Bruce Peninsula","ON","Ontario",45.08,-81.38,3999,5.1,NA,NA,NA,NA,NA,NA
"723","L’Islet-sur-Mer","L'Islet-sur-Mer","QC","Quebec",47.1,-70.35,3999,33.3,NA,NA,NA,NA,NA,NA
"724","Carleton-sur-Mer","Carleton-sur-Mer","QC","Quebec",48.1,-66.1333,3991,18,NA,NA,NA,NA,NA,NA
"725","Oka","Oka","QC","Quebec",45.47,-74.08,3969,69.3,NA,NA,NA,NA,NA,NA
"726","Prescott","Prescott","ON","Ontario",44.7167,-75.5167,3965,1273.5,NA,NA,NA,NA,NA,NA
"727","Amaranth","Amaranth","ON","Ontario",43.9833,-80.2333,3963,15,NA,NA,NA,NA,NA,NA
"728","Marmora and Lake","Marmora and Lake","ON","Ontario",44.6425,-77.7372,3953,7.1,NA,NA,NA,NA,NA,NA
"729","Maniwaki","Maniwaki","QC","Quebec",46.375,-75.9667,3930,677.7,NA,NA,NA,NA,NA,NA
"730","Morin-Heights","Morin-Heights","QC","Quebec",45.9,-74.25,3925,69.5,NA,NA,NA,NA,NA,NA
"731","Dundas","Dundas","NB","New Brunswick",46.3155,-64.6947,3914,22.4,NA,NA,NA,NA,NA,NA
"732","Napierville","Napierville","QC","Quebec",45.1833,-73.4,3899,796.6,NA,NA,NA,NA,NA,NA
"733","Crabtree","Crabtree","QC","Quebec",45.9667,-73.4667,3887,155,NA,NA,NA,NA,NA,NA
"734","Bancroft","Bancroft","ON","Ontario",45.05,-77.85,3881,16.9,NA,NA,NA,NA,NA,NA
"735","Saint-Tite","Saint-Tite","QC","Quebec",46.7333,-72.5667,3880,41.9,NA,NA,NA,NA,NA,NA
"736","Howick","Howick","ON","Ontario",43.9,-81.07,3873,13.4,NA,NA,NA,NA,NA,NA
"737","Dutton/Dunwich","Dutton/Dunwich","ON","Ontario",42.6667,-81.5,3866,13.1,NA,NA,NA,NA,NA,NA
"738","Callander","Callander","ON","Ontario",46.1781,-79.4125,3863,36.4,NA,NA,NA,NA,NA,NA
"739","Simonds","Simonds","NB","New Brunswick",45.3145,-65.803,3843,13.7,NA,NA,NA,NA,NA,NA
"740","Baie-d’Urfé","Baie-d'Urfe","QC","Quebec",45.4167,-73.9167,3823,633.9,NA,NA,NA,NA,NA,NA
"741","New Richmond","New Richmond","QC","Quebec",48.1667,-65.8667,3810,22.6,NA,NA,NA,NA,NA,NA
"742","Perth South","Perth South","ON","Ontario",43.3,-81.15,3810,9.7,NA,NA,NA,NA,NA,NA
"743","Roxton Pond","Roxton Pond","QC","Quebec",45.4833,-72.6667,3786,38.8,NA,NA,NA,NA,NA,NA
"744","Sparwood","Sparwood","BC","British Columbia",49.7331,-114.8853,3784,19.4,NA,NA,NA,NA,NA,NA
"745","Claresholm","Claresholm","AB","Alberta",50.0194,-113.5783,3780,465.9,NA,NA,NA,NA,NA,NA
"746","Breslau","Breslau","ON","Ontario",43.4816,-80.408,3778,691.9,NA,NA,NA,NA,NA,NA
"747","Montague","Montague","ON","Ontario",44.9667,-75.9667,3761,13.4,NA,NA,NA,NA,NA,NA
"748","Cumberland","Cumberland","BC","British Columbia",49.6206,-125.0261,3753,128.9,NA,NA,NA,NA,NA,NA
"749","Beaupré","Beaupre","QC","Quebec",47.05,-70.9,3752,163.4,NA,NA,NA,NA,NA,NA
"750","Saint-André-Avellin","Saint-Andre-Avellin","QC","Quebec",45.7167,-75.0667,3749,27.2,NA,NA,NA,NA,NA,NA
"751","Saint-Ambroise-de-Kildare","Saint-Ambroise-de-Kildare","QC","Quebec",46.0833,-73.55,3747,55.3,NA,NA,NA,NA,NA,NA
"752","East Angus","East Angus","QC","Quebec",45.4833,-71.6667,3741,472.7,NA,NA,NA,NA,NA,NA
"753","Rossland","Rossland","BC","British Columbia",49.0786,-117.7992,3729,62.4,NA,NA,NA,NA,NA,NA
"754","Mackenzie","Mackenzie","BC","British Columbia",55.3381,-123.0944,3714,22.6,NA,NA,NA,NA,NA,NA
"755","Golden","Golden","BC","British Columbia",51.3019,-116.9667,3708,325,NA,NA,NA,NA,NA,NA
"756","Raymond","Raymond","AB","Alberta",49.4658,-112.6508,3708,557.1,NA,NA,NA,NA,NA,NA
"757","Saint-Adolphe-d'Howard","Saint-Adolphe-d'Howard","QC","Quebec",45.97,-74.33,3702,26.6,NA,NA,NA,NA,NA,NA
"758","Warwick","Warwick","ON","Ontario",43,-81.8917,3692,12.7,NA,NA,NA,NA,NA,NA
"759","Bowen Island","Bowen Island","BC","British Columbia",49.3833,-123.3833,3680,73.4,NA,NA,NA,NA,NA,NA
"760","Bonnechere Valley","Bonnechere Valley","ON","Ontario",45.5333,-77.1,3674,6.2,NA,NA,NA,NA,NA,NA
"761","Windsor","Windsor","NS","Nova Scotia",44.9803,-64.1292,3648,400.6,104.98,56,105.6,66,104.51,58
"762","Pincher Creek","Pincher Creek","AB","Alberta",49.4861,-113.95,3642,361.1,NA,NA,NA,NA,NA,NA
"763","Alnwick","Alnwick","NB","New Brunswick",47.2656,-65.2292,3640,5.4,NA,NA,NA,NA,NA,NA
"764","Westville","Westville","NS","Nova Scotia",45.55,-62.7,3628,254.9,NA,NA,NA,NA,NA,NA
"765","Fruitvale","Fruitvale","BC","British Columbia",49.1161,-117.5414,3627,1363.5,NA,NA,NA,NA,NA,NA
"766","Pasadena","Pasadena","NL","Newfoundland and Labrador",49.0161,-57.605,3620,73.6,NA,NA,NA,NA,NA,NA
"767","Saint-Prosper","Saint-Prosper","QC","Quebec",46.2167,-70.4833,3605,27,NA,NA,NA,NA,NA,NA
"768","Ormstown","Ormstown","QC","Quebec",45.13,-74,3595,25.2,NA,NA,NA,NA,NA,NA
"769","Cardston","Cardston","AB","Alberta",49.2025,-113.3019,3585,417.5,NA,NA,NA,NA,NA,NA
"770","Westbank","Westbank","BC","British Columbia",49.8423,-119.6743,3581,80.6,NA,NA,NA,NA,NA,NA
"771","De Salaberry","De Salaberry","MB","Manitoba",49.4403,-96.9844,3580,5.3,NA,NA,NA,NA,NA,NA
"772","Headingley","Headingley","MB","Manitoba",49.8681,-97.3908,3579,33.4,NA,NA,NA,NA,NA,NA
"773","Grande Cache","Grande Cache","AB","Alberta",53.8773,-119.1199,3571,102.1,NA,NA,NA,NA,NA,NA
"774","Atholville","Atholville","NB","New Brunswick",47.9894,-66.7125,3570,29.8,NA,NA,NA,NA,NA,NA
"775","Saint-Agapit","Saint-Agapit","QC","Quebec",46.5667,-71.4333,3567,54.5,NA,NA,NA,NA,NA,NA
"776","Prince Albert No. 461","Prince Albert No. 461","SK","Saskatchewan",53.1089,-105.6574,3562,3.5,NA,NA,NA,NA,NA,NA
"777","Casselman","Casselman","ON","Ontario",45.3,-75.0833,3548,693.4,NA,NA,NA,NA,NA,NA
"778","Saint-Ambroise","Saint-Ambroise","QC","Quebec",48.55,-71.3333,3546,23.5,NA,NA,NA,NA,NA,NA
"779","Hay River","Hay River","NT","Northwest Territories",60.7531,-115.9004,3528,26.5,NA,NA,NA,NA,NA,NA
"780","Mistissini","Mistissini","QC","Quebec",50.5707,-73.6829,3523,4.1,NA,NA,NA,NA,NA,NA
"781","Studholm","Studholm","NB","New Brunswick",45.8133,-65.5747,3522,7.8,NA,NA,NA,NA,NA,NA
"782","Lumby","Lumby","BC","British Columbia",50.2494,-118.9656,3500,379.5,NA,NA,NA,NA,NA,NA
"783","Saint-Faustin--Lac-Carré","Saint-Faustin--Lac-Carre","QC","Quebec",46.0813,-74.4668,3499,28.8,NA,NA,NA,NA,NA,NA
"784","Morris-Turnberry","Morris-Turnberry","ON","Ontario",43.85,-81.25,3496,9.1,NA,NA,NA,NA,NA,NA
"785","Placentia","Placentia","NL","Newfoundland and Labrador",47.2458,-53.9611,3496,60.2,NA,NA,NA,NA,NA,NA
"786","Saint-Pascal","Saint-Pascal","QC","Quebec",47.5333,-69.8,3490,58.8,NA,NA,NA,NA,NA,NA
"787","Mulmur","Mulmur","ON","Ontario",44.1917,-80.1083,3478,12.1,NA,NA,NA,NA,NA,NA
"788","Blind River","Blind River","ON","Ontario",46.1833,-82.95,3472,6.6,NA,NA,NA,NA,NA,NA
"789","Dunham","Dunham","QC","Quebec",45.1333,-72.8,3471,17.8,NA,NA,NA,NA,NA,NA
"790","Havre-Saint-Pierre","Havre-Saint-Pierre","QC","Quebec",50.2333,-63.6,3460,1.2,NA,NA,NA,NA,NA,NA
"791","Saint-Anselme","Saint-Anselme","QC","Quebec",46.6333,-70.9667,3458,46.9,NA,NA,NA,NA,NA,NA
"792","Trois-Pistoles","Trois-Pistoles","QC","Quebec",48.12,-69.18,3456,450.9,NA,NA,NA,NA,NA,NA
"793","Grande-Rivière","Grande-Riviere","QC","Quebec",48.4,-64.5,3456,39.5,NA,NA,NA,NA,NA,NA
"794","Powassan","Powassan","ON","Ontario",46.0825,-79.3619,3455,15.4,NA,NA,NA,NA,NA,NA
"795","Malartic","Malartic","QC","Quebec",48.1333,-78.1333,3449,23.2,NA,NA,NA,NA,NA,NA
"796","Bonavista","Bonavista","NL","Newfoundland and Labrador",48.6597,-53.1208,3448,109.4,NA,NA,NA,NA,NA,NA
"797","Killarney - Turtle Mountain","Killarney - Turtle Mountain","MB","Manitoba",49.1775,-99.6906,3429,3.7,NA,NA,NA,NA,NA,NA
"798","Woodlands","Woodlands","MB","Manitoba",50.2408,-97.7358,3416,2.9,NA,NA,NA,NA,NA,NA
"799","Lewisporte","Lewisporte","NL","Newfoundland and Labrador",49.23,-55.07,3409,92.4,NA,NA,NA,NA,NA,NA
"800","Saint-Denis-de-Brompton","Saint-Denis-de-Brompton","QC","Quebec",45.45,-72.0833,3402,48.1,NA,NA,NA,NA,NA,NA
"801","Invermere","Invermere","BC","British Columbia",50.5083,-116.0303,3391,315.9,NA,NA,NA,NA,NA,NA
"802","Salisbury","Salisbury","NB","New Brunswick",46.0776,-65.1996,3388,3.9,NA,NA,NA,NA,NA,NA
"803","Bifrost-Riverton","Bifrost-Riverton","MB","Manitoba",51.0603,-97.1436,3378,2.1,NA,NA,NA,NA,NA,NA
"804","Buckland No. 491","Buckland No. 491","SK","Saskatchewan",53.3276,-105.7804,3375,4.3,NA,NA,NA,NA,NA,NA
"805","Cartier","Cartier","MB","Manitoba",49.9161,-97.7,3368,6.1,NA,NA,NA,NA,NA,NA
"806","Sainte-Anne-des-Lacs","Sainte-Anne-des-Lacs","QC","Quebec",45.85,-74.1333,3363,135.8,NA,NA,NA,NA,NA,NA
"807","Highlands East","Highlands East","ON","Ontario",44.9667,-78.25,3343,4.7,NA,NA,NA,NA,NA,NA
"808","Alexander","Alexander","MB","Manitoba",50.4222,-96.075,3333,2.1,NA,NA,NA,NA,NA,NA
"809","Sainte-Claire","Sainte-Claire","QC","Quebec",46.6,-70.8667,3325,37.8,NA,NA,NA,NA,NA,NA
"810","Percé","Perce","QC","Quebec",48.5333,-64.2167,3312,7.7,NA,NA,NA,NA,NA,NA
"811","Saint-Jean-Port-Joli","Saint-Jean-Port-Joli","QC","Quebec",47.2167,-70.2667,3304,47.9,NA,NA,NA,NA,NA,NA
"812","East Hawkesbury","East Hawkesbury","ON","Ontario",45.5167,-74.4667,3296,14,NA,NA,NA,NA,NA,NA
"813","Bright","Bright","NB","New Brunswick",46.1205,-67.0545,3289,8.1,NA,NA,NA,NA,NA,NA
"814","Penhold","Penhold","AB","Alberta",52.1333,-113.8667,3277,619.9,NA,NA,NA,NA,NA,NA
"815","Saint-André-d'Argenteuil","Saint-Andre-d'Argenteuil","QC","Quebec",45.5667,-74.3333,3275,33.5,NA,NA,NA,NA,NA,NA
"816","Saint-Côme--Linière","Saint-Come--Liniere","QC","Quebec",46.0667,-70.5167,3274,21.8,NA,NA,NA,NA,NA,NA
"817","Saint-Sulpice","Saint-Sulpice","QC","Quebec",45.8333,-73.35,3273,90,NA,NA,NA,NA,NA,NA
"818","Marathon","Marathon","ON","Ontario",48.75,-86.3667,3273,19.2,NA,NA,NA,NA,NA,NA
"819","Forestville","Forestville","QC","Quebec",48.7333,-69.0833,3270,16.8,NA,NA,NA,NA,NA,NA
"820","Inuvik","Inuvik","NT","Northwest Territories",68.3407,-133.6096,3243,51.9,NA,NA,NA,NA,NA,NA
"821","Richmond","Richmond","QC","Quebec",45.6667,-72.15,3232,460.2,108.41,52,55.4,200,127.22,31
"822","Lake Cowichan","Lake Cowichan","BC","British Columbia",48.8258,-124.0542,3226,369.6,NA,NA,NA,NA,NA,NA
"823","Sables-Spanish Rivers","Sables-Spanish Rivers","ON","Ontario",46.2333,-82,3214,3.9,NA,NA,NA,NA,NA,NA
